HD 175607 b,2.94,0.7,-0.271
HD 17674 b,13.9,1.18,0.205
HD 176986 b,2.26,0.78,-0.48
HD 176986 c,2.98,0.78,-0.48
HD 177565 b,4,0.97,-0.054
HD 177830 b,13.5,3.26,0.685
HD 177830 c,7.87,2.62,0.685
HD 178911 B b,12.6,1.08,-0.043
HD 179079 b,5.48,1.63,0.38
HD 179949 b,13.9,1.27,0.301
HD 180053 b,13.3,4.06,1.099
HD 18015 b,13.1,3.13,0.974
HD 180314 b,12.1,8.13,1.643
HD 180617 b,3.53,0.48,-1.49
HD 180902 b,13.5,4.16,0.973
HD 181234 b,12.5,1.06,-0.099
HD 181342 b,13.2,4.71,1.079
HD 18143 b,3.28,0.87,-0.32
HD 18143 c,12.5,0.87,-0.32
HD 181433 b,2.4,0.79,-0.456
HD 181433 c,14.1,0.81,-0.511
HD 181433 d,14.2,0.81,-0.511
HD 181720 b,14,1.5,0.288
HD 183263 b,13.1,1.23,0.25
HD 183263 c,12.5,1.29,0.25
HD 184010 b,12.1,4.86,1.117
HD 184010 c,11.8,4.86,1.117
HD 184010 d,14.3,4.86,1.117
HD 18438 b,12.1,88.48,2.968
HD 185269 b,13.8,2,0.694
HD 187085 b,13.9,1.27,2.13
HD 187123 b,14.2,1.15,0.127
HD 187123 c,13.4,1.15,0.127
HD 18742 b,13.1,5.13,1.143
HD 188015 b,13.6,1.13,0.059
HD 188641 b,11.9,1.94,0.615
HD 189567 b,2.85,1.04,0.324
HD 189567 c,2.54,1.04,0.324
HD 189733 b,12.666,0.75,-0.461
HD 190007 b,4.21,0.79,-0.68
HD 190228 b,12.9,2.59,0.697
HD 190360 b,13.4,1.14,0.066
HD 190360 c,4.59,1.17,0.066
HD 190647 b,13.4,1.38,0.297
HD 190984 b,13,1.53,0.43
HD 191806 b,12.5,1.4,0.348
HD 191939 e,13,0.94,-0.187
HD 191939 f,13.4,0.94,-0.187
HD 191939 g,3.74,0.94,-0.187
HD 192263 b,14.2,0.74,-0.47
HD 192310 b,4.27,0.86,-0.415
HD 192310 c,5.25,0.81,-0.415
HD 192699 b,13.4,4.41,1.009
HD 194490 b,12.4,1.15,0.147
HD 195019 b,13,1.48,0.333
HD 196050 b,12.9,1.42,0.26
HD 196067 b,12.3,1.73,0.572
HD 19615 b,12.6,32.3,2.515
