HD 20781 b,1.21,0.83
HD 20781 c,2.17,0.83
HD 20781 d,3.25,0.83
HD 20781 e,3.83,0.83
HD 20782 b,13.6,1.13
HD 207832 b,14.2,0.89
HD 207832 c,14,0.9
HD 20794 b,1.45,0.92
HD 20794 c,1.35,0.92
HD 20794 d,2.04,0.92
HD 20794 e,2.03,0.92
HD 208487 b,14.2,1.2
HD 208527 b,12.5,51.1
HD 20868 b,13.7,0.76
HD 208897 b,13.6,4.98
HD 209458 b,15.581,1.19
HD 210193 b,14.3,1.06
HD 210277 b,13.6,1.07
HD 210702 b,13.4,4.92
HD 211403 b,12.8,1.21
HD 211810 b,14,1.13
HD 211970 b,3.66,0.57
HD 212301 b,14.2,1.16
HD 212771 b,13.3,5.27
HD 213240 b,12.8,1.51
HD 213472 b,13.1,1.43
HD 213519 b,2.99,1.08
HD 213885 c,4.71,1.1
HD 21411 b,9.52,0.83
HD 214823 b,12.1,2.04
HD 215152 b,1.19,0.73
HD 215152 c,1.17,0.73
HD 215152 d,1.48,0.73
HD 215152 e,1.51,0.73
HD 215497 b,2.4,0.85
HD 215497 c,12.5,0.9
HD 216435 b,13.7,1.8
HD 216437 b,13,1.39
HD 216520 b,3.18,0.76
HD 216520 c,3.03,0.76
HD 216536 b,13.8,9.83
HD 216770 b,14.1,0.93
HD 21693 b,2.8,0.91
HD 21693 c,4.34,0.91
HD 217107 b,13.6,1.11
HD 217107 c,13.2,1.2
HD 217786 b,12.3,1.27
HD 217786 c,2.61,1.34
HD 217958 b,14.2,1.33
HD 218566 b,9.32,0.85
HD 219077 b,12.5,1.91
HD 219134 b,1.602,0.78
HD 219134 c,1.511,0.78
HD 219134 d,1.61,0.78
HD 219134 f,1.31,0.78
HD 219134 g,3.28,0.77
HD 219134 h,12.7,0.77
HD 219139 b,14,11.22
HD 219415 b,13.8,2.9
HD 219828 b,4.59,1.56
HD 219828 c,12.2,1.61
HD 220074 b,12.2,54.92
HD 220197 b,9.32,0.98
HD 220689 b,13.7,1.07
HD 220773 b,13.6,1.68
HD 220842 b,13.1,1.42
HD 221287 b,13.1,1.14
HD 221420 b,12.1,1.95
HD 221585 b,13.5,1.85
HD 222076 b,13.5,4.1
HD 222155 b,13.4,1.85
HD 222582 b,12.6,1.13
HD 224538 b,12.7,1.54
HD 224693 b,14,1.93
HD 22496 b,2.22,0.67
HD 22532 b,13.4,5.69
HD 22781 b,12.3,0.74
HD 23079 b,13.2,1.07
HD 23127 b,13.5,1.49
HD 231701 b,13.7,1.53
HD 233604 b,12.7,10.9
HD 233832 b,13.5,0.68
HD 23596 b,12.4,1.53
HD 238090 b,2.52,0.57
HD 238914 b,12.8,12.73
HD 240210 b,12.8,25.46
HD 240237 b,12.2,71.23
HD 24040 b,13,1.3
HD 24040 c,9.35,1.39
HD 24064 b,12.3,40
HD 24085 b,3.46,1.41
HD 25015 b,12.5,0.83
HD 25171 b,13.9,1.23
HD 25723 b,13.3,13.76
HD 25912 b,6.9,1
HD 25912 c,12.2,1
HD 26161 b,11.9,1.46
HD 2638 b,14.3,0.94
HD 26965 b,2.84,0.87
HD 27442 b,13.5,3.18
HD 27631 b,13.5,0.92
HD 27894 b,14.1,0.89
HD 27894 c,8.24,0.89
HD 27894 d,12.7,0.89
HD 27969 b,12.9,1.27
HD 28185 b,12.8,1.03
HD 28185 c,12.1,1.03
HD 28192 b,12.2,1.07
HD 28254 b,13.7,1.48
HD 285507 b,13.8,0.69
HD 285968 b,2.83,0.48
HD 28678 b,13.5,6.48
HD 29021 b,12.9,0.85
HD 290327 b,13.3,0.95
HD 29399 b,13.5,4.5
